run_games,seed,run_mode,competitors,rotate_seats,daily_conditions,workers,code_revision,elapsed_seconds,card,free_pick_rate,free_pick_offers,free_picks,win_rate,win_credit_when_acquired,player_games_with_card,fun_added,fun_total_with_card,player_games_without_card,fun_total_without_card,offers,picks,pick_rate,acquisitions,plays,plays_without_acquisition,play_rate,win_rate_when_picked,win_rate_when_acquired
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Colouring,0.36254307141409364,14801,5366,0.22940872708494703,1480.833333333333,6455,-0.3956534333858386,324777,33545,1701056,15006,5484,0.36545381847261094,6455,5022,32,0.7741637120394635,0.22562606370046193,0.22940872708494703
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Couch Tube,0.11885829847865055,43514,5172,0.3092517219787099,1975.4999999999989,6388,1.5386962799387902,331785,33612,1694048,43914,5172,0.11777565241153164,6388,4141,30,0.645216578373325,0.31056651198762564,0.3092517219787099
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Date's First Nos,0.09937949765081379,50443,5013,0.2235970910669705,1373.3333333333328,6142,-0.5169669102241485,308379,33858,1717454,50872,5013,0.09854143733291398,6142,948,33,0.15352226720647774,0.21863155794933178,0.2235970910669705
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Decaf,0.9741223307998552,5526,5383,0.27977913175932967,1836.7499999999993,6565,0.903898198081535,337450,33435,1688383,5657,5506,0.9733074067526958,6565,6408,98,0.9617289509230077,0.2829337692214553,0.27977913175932967
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Dishwashing,0.7659752192677154,7183,5502,0.2040951797385621,1332.3333333333333,6528,-1.365998622202227,323154,33472,1702679,7241,5502,0.7598398011324403,6528,2910,25,0.4440714176712956,0.20733369683751368,0.2040951797385621
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Dock Fishing,0.547242497972425,9864,5398,0.23908063530849108,1565.4999999999995,6548,-0.07046303674496102,331243,33452,1694590,9988,5472,0.5478574289146977,6548,6206,36,0.942588092345079,0.24561403508771926,0.23908063530849108
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Doritos,0.6296468943013634,8581,5403,0.26142196473039586,1714.6666666666663,6559,-0.08990011052226521,331693,33441,1694140,8699,5513,0.6337510058627428,6559,4676,91,0.7031578947368421,0.26336235564423477,0.26142196473039586
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Doxology,0.3263355314901083,16529,5394,0.22579642579642575,1452.9999999999998,6435,-0.6131528302539806,322595,33565,1703238,16667,5394,0.3236335273294534,6435,3716,33,0.5745207173778603,0.2260381905821283,0.22579642579642575
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Dumbed Down Settlers,0.6017448200654307,9170,5518,0.24871383455582718,1627.583333333333,6544,0.20987336284624547,332575,33456,1693258,9242,5518,0.5970569140878598,6544,6068,32,0.9227493917274939,0.24569590431315685,0.24871383455582718
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Early Bedtime,0.7760113555713272,7045,5467,0.2593003108597054,1696.083333333333,6541,-0.07061127447398263,330888,33459,1694945,7146,5518,0.7721802406940946,6541,3815,35,0.580139902676399,0.2619004470218678,0.2593003108597054
